"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US30031","Gallatin County, Montana","17767","null","2386","null","45800","4648","null","null","74776","null","5537","null","109557","6244","null","null","241757","29380","null","null","480145","null","92118","null",
"0500000US30049","Lewis and Clark County, Montana","15033","null","2263","null","37544","4306","null","null","65926","null","8124","null","102810","9630","null","null","221477","36691","null","null","410710","null","116777","null",
"0500000US30063","Missoula County, Montana","14391","null","1896","null","36700","2994","null","null","58049","null","4111","null","86928","5537","null","null","196718","26488","null","null","363065","null","89261","null",
"0500000US30111","Yellowstone County, Montana","15578","null","1436","null","37642","3202","null","null","61432","null","3279","null","96571","5790","null","null","230098","27703","null","null","440318","null","85789","null",
"0500000US31055","Douglas County, Nebraska","16054","null","1011","null","41792","1366","null","null","67605","null","1944","null","102059","2357","null","null","220674","10718","null","null","396953","null","35317","null",
"0500000US31109","Lancaster County, Nebraska","15825","null","1507","null","39042","1876","null","null","61094","null","2120","null","94097","3224","null","null","214137","14051","null","null","389225","null","43479","null",
"0500000US31153","Sarpy County, Nebraska","23589","null","2882","null","55934","3588","null","null","84981","null","3862","null","120299","4397","null","null","219087","18412","null","null","351213","null","61695","null",
"0500000US32003","Clark County, Nevada","13760","null","696","null","38635","938","null","null","62524","null","1150","null","95578","1353","null","null","219127","7461","null","null","412869","null","25356","null",
"0500000US32031","Washoe County, Nevada","17242","null","1361","null","44735","2231","null","null","72556","null","2545","null","107607","3383","null","null","247601","19831","null","null","482201","null","63017","null",
"0500000US33005","Cheshire County, New Hampshire","16922","null","2766","null","41834","3637","null","null","66347","null","5267","null","97301","6193","null","null","180209","18068","null","null","299394","null","43531","null",
"0500000US33009","Grafton County, New Hampshire","13692","null","2589","null","36222","3820","null","null","60372","null","5416","null","97671","7697","null","null","240210","28507","null","null","437727","null","69977","null",
"0500000US33011","Hillsborough County, New Hampshire","20976","null","1751","null","52294","2532","null","null","84854","null","3670","null","125284","3512","null","null","241381","12782","null","null","391042","null","39881","null",
"0500000US33013","Merrimack County, New Hampshire","18492","null","2366","null","47044","3766","null","null","75267","null","4161","null","110534","5953","null","null","215138","15234","null","null","339796","null","40782","null",
"0500000US33015","Rockingham County, New Hampshire","24454","null","2125","null","58804","2728","null","null","92524","null","3992","null","140793","4059","null","null","295439","22286","null","null","529333","null","70130","null",
"0500000US33017","Strafford County, New Hampshire","18657","null","2731","null","46439","4130","null","null","73065","null","5604","null","111592","7222","null","null","209302","21231","null","null","328419","null","67087","null",
"0500000US34001","Atlantic County, New Jersey","13767","null","1707","null","38623","2437","null","null","63917","null","3519","null","101662","4525","null","null","247992","25853","null","null","498739","null","93354","null",
"0500000US34003","Bergen County, New Jersey","24487","null","1726","null","65227","2790","null","null","109157","null","3230","null","166923","4248","null","null","372260","15564","null","null","660720","null","46936","null",
