"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US06101","Sutter County, California","14631","null","2684","null","36780","null","3807","null","59091","4988","null","null","94007","7575","null","null","201146","45005","null","null","373495","164082","null","null",
"0500000US06107","Tulare County, California","9870","null","1096","null","28237","null","1703","null","49246","2480","null","null","79181","3766","null","null","192744","17696","null","null","367035","55907","null","null",
"0500000US06111","Ventura County, California","20159","null","1238","null","51275","null","2127","null","85244","2139","null","null","128854","2920","null","null","266652","11062","null","null","453860","34194","null","null",
"0500000US06113","Yolo County, California","12229","null","1828","null","37079","null","2970","null","68374","3604","null","null","109094","5461","null","null","243636","19983","null","null","411830","57691","null","null",
"0500000US06115","Yuba County, California","13587","null","2481","null","31545","null","3489","null","48796","5768","null","null","80740","8301","null","null","146505","12728","null","null","187898","11633","null","null",
"0500000US08001","Adams County, Colorado","19563","null","1589","null","45971","null","2016","null","70124","2403","null","null","102410","2751","null","null","202749","16675","null","null","354243","57295","null","null",
"0500000US08005","Arapahoe County, Colorado","19439","null","1316","null","46934","null","1569","null","76785","2271","null","null","115301","3005","null","null","256930","14267","null","null","469205","43276","null","null",
"0500000US08013","Boulder County, Colorado","15507","null","1620","null","48026","null","2604","null","84000","3869","null","null","133998","5459","null","null","288306","18124","null","null","493731","57920","null","null",
"0500000US08014","Broomfield County, Colorado","28267","null","3862","null","58292","null","4368","null","92843","8536","null","null","138706","9666","null","null","285803","31233","null","null","488970","101588","null","null",
"0500000US08031","Denver County, Colorado","14960","null","1047","null","40872","null","1827","null","69011","2402","null","null","111831","3705","null","null","261967","12785","null","null","479737","35302","null","null",
"0500000US08035","Douglas County, Colorado","35563","null","2398","null","80217","null","4153","null","119475","4109","null","null","170705","5821","null","null","323915","17645","null","null","541741","50327","null","null",
"0500000US08041","El Paso County, Colorado","16928","null","1124","null","42472","null","1558","null","68308","2154","null","null","101879","2757","null","null","209609","10723","null","null","357691","34411","null","null",
"0500000US08059","Jefferson County, Colorado","21107","null","1533","null","53206","null","2175","null","86027","2771","null","null","126159","3524","null","null","244846","9086","null","null","410197","27016","null","null",
"0500000US08069","Larimer County, Colorado","17374","null","1808","null","45014","null","2199","null","71627","2949","null","null","107730","3688","null","null","221693","13116","null","null","384282","38959","null","null",
"0500000US08077","Mesa County, Colorado","11768","null","1747","null","31524","null","2865","null","51147","3478","null","null","81682","4918","null","null","166981","15501","null","null","278177","43396","null","null",
"0500000US08101","Pueblo County, Colorado","9582","null","1578","null","26929","null","2253","null","47879","3017","null","null","73927","3533","null","null","145507","13173","null","null","239075","44722","null","null",
"0500000US08123","Weld County, Colorado","18405","null","1714","null","47452","null","2736","null","75790","2865","null","null","108779","4078","null","null","202197","10378","null","null","305300","20890","null","null",
"0500000US09001","Fairfield County, Connecticut","17432","null","1033","null","50707","null","1935","null","91884","3021","null","null","156609","4196","null","null","435196","17211","null","null","842174","51251","null","null",
"0500000US09003","Hartford County, Connecticut","14580","null","759","null","41241","null","1475","null","73455","1857","null","null","116562","2422","null","null","263890","9286","null","null","471487","28747","null","null",
"0500000US09005","Litchfield County, Connecticut","18714","null","1554","null","45389","null","3560","null","77428","3394","null","null","115680","4155","null","null","256418","23331","null","null","492709","77655","null","null",
"0500000US09007","Middlesex County, Connecticut","20338","null","2606","null","52657","null","3988","null","88714","4542","null","null","133015","5454","null","null","260902","20347","null","null","430189","62332","null","null",
"0500000US09009","New Haven County, Connecticut","14089","null","977","null","39428","null","1860","null","68337","2279","null","null","109190","3009","null","null","240671","10501","null","null","416488","30713","null","null",
"0500000US09011","New London County, Connecticut","15955","null","1765","null","43517","null","2639","null","69349","3288","null","null","107983","3968","null","null","205956","9111","null","null","318214","25711","null","null",
"0500000US09013","Tolland County, Connecticut","18414","null","3031","null","56322","null","6360","null","92653","5863","null","null","131256","7199","null","null","249775","21252","null","null","398641","50893","null","null",
"0500000US09015","Windham County, Connecticut","13746","null","2524","null","41656","null","4439","null","65551","4531","null","null","96870","6411","null","null","186070","21103","null","null","287927","68399","null","null",
