"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0500000US21145","McCracken County, Kentucky","0.5410","null","0.0613","null",
"0500000US21151","Madison County, Kentucky","0.4627","null","0.0369","null",
"0500000US21185","Oldham County, Kentucky","0.4279","null","0.0251","null",
"0500000US21227","Warren County, Kentucky","0.4609","null","0.0430","null",
"0500000US22005","Ascension Parish, Louisiana","0.4456","null","0.0376","null",
"0500000US22015","Bossier Parish, Louisiana","0.4369","null","0.0209","null",
"0500000US22017","Caddo Parish, Louisiana","0.4869","null","0.0230","null",
"0500000US22019","Calcasieu Parish, Louisiana","0.4614","null","0.0200","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","0.5115","null","0.0247","null",
"0500000US22045","Iberia Parish, Louisiana","0.4421","null","0.0344","null",
"0500000US22051","Jefferson Parish, Louisiana","0.4679","null","0.0139","null",
"0500000US22055","Lafayette Parish, Louisiana","0.4618","null","0.0257","null",
"0500000US22057","Lafourche Parish, Louisiana","0.4827","null","0.0329","null",
"0500000US22063","Livingston Parish, Louisiana","0.4427","null","0.0384","null",
"0500000US22071","Orleans Parish, Louisiana","0.5617","null","0.0130","null",
"0500000US22073","Ouachita Parish, Louisiana","0.5155","null","0.0272","null",
"0500000US22079","Rapides Parish, Louisiana","0.4623","null","0.0262","null",
"0500000US22097","St. Landry Parish, Louisiana","0.5397","null","0.0478","null",
"0500000US22103","St. Tammany Parish, Louisiana","0.4782","null","0.0212","null",
"0500000US22105","Tangipahoa Parish, Louisiana","0.4412","null","0.0326","null",
"0500000US22109","Terrebonne Parish, Louisiana","0.4668","null","0.0466","null",
"0500000US23001","Androscoggin County, Maine","0.4287","null","0.0188","null",
"0500000US23003","Aroostook County, Maine","0.4634","null","0.0193","null",
"0500000US23005","Cumberland County, Maine","0.4413","null","0.0119","null",
"0500000US23011","Kennebec County, Maine","0.4426","null","0.0267","null",
"0500000US23019","Penobscot County, Maine","0.4697","null","0.0283","null",
"0500000US23031","York County, Maine","0.4175","null","0.0166","null",
"0500000US24001","Allegany County, Maryland","0.4650","null","0.0325","null",
"0500000US24003","Anne Arundel County, Maryland","0.4212","null","0.0154","null",
"0500000US24005","Baltimore County, Maryland","0.4499","null","0.0111","null",
"0500000US24009","Calvert County, Maryland","0.3750","null","0.0332","null",
"0500000US24013","Carroll County, Maryland","0.4125","null","0.0249","null",
"0500000US24015","Cecil County, Maryland","0.4000","null","0.0257","null",
"0500000US24017","Charles County, Maryland","0.3720","null","0.0172","null",
"0500000US24021","Frederick County, Maryland","0.4088","null","0.0163","null",
"0500000US24025","Harford County, Maryland","0.4107","null","0.0154","null",
"0500000US24027","Howard County, Maryland","0.4090","null","0.0148","null",
"0500000US24031","Montgomery County, Maryland","0.4650","null","0.0080","null",
"0500000US24033","Prince George's County, Maryland","0.4034","null","0.0070","null",
"0500000US24037","St. Mary's County, Maryland","0.3958","null","0.0233","null",
"0500000US24043","Washington County, Maryland","0.4351","null","0.0229","null",
"0500000US24045","Wicomico County, Maryland","0.4405","null","0.0266","null",
"0500000US24510","Baltimore city, Maryland","0.5158","null","0.0117","null",
"0500000US25001","Barnstable County, Massachusetts","0.4533","null","0.0171","null",
"0500000US25003","Berkshire County, Massachusetts","0.4608","null","0.0245","null",
"0500000US25005","Bristol County, Massachusetts","0.4615","null","0.0151","null",
"0500000US25009","Essex County, Massachusetts","0.4955","null","0.0115","null",
"0500000US25011","Franklin County, Massachusetts","0.4525","null","0.0321","null",
"0500000US25013","Hampden County, Massachusetts","0.4798","null","0.0122","null",
"0500000US25015","Hampshire County, Massachusetts","0.4514","null","0.0228","null",
"0500000US25017","Middlesex County, Massachusetts","0.4708","null","0.0062","null",
"0500000US25021","Norfolk County, Massachusetts","0.4898","null","0.0123","null",
"0500000US25023","Plymouth County, Massachusetts","0.4553","null","0.0137","null",
