"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US37161","Rutherford County, North Carolina","8104","1782","null","null","20456","null","3181","null","35281","3100","null","null","53506","5488","null","null","111910","14830","null","null","188160","40751","null","null",
"0500000US37171","Surry County, North Carolina","9385","1530","null","null","23001","null","1965","null","35424","2312","null","null","56468","4089","null","null","110043","8348","null","null","169578","23533","null","null",
"0500000US37179","Union County, North Carolina","18153","1650","null","null","39787","null","2392","null","63477","3399","null","null","94158","5081","null","null","217922","31265","null","null","405371","109696","null","null",
"0500000US37183","Wake County, North Carolina","16567","901","null","null","40972","null","1244","null","65713","1802","null","null","100504","2446","null","null","218014","8126","null","null","378565","26079","null","null",
"0500000US37191","Wayne County, North Carolina","12095","1535","null","null","25965","null","2215","null","42672","3529","null","null","65883","4590","null","null","124987","9596","null","null","209610","30563","null","null",
"0500000US37193","Wilkes County, North Carolina","7941","1539","null","null","18265","null","2465","null","30356","3466","null","null","48337","5629","null","null","119013","20017","null","null","224924","69145","null","null",
"0500000US37195","Wilson County, North Carolina","11582","2255","null","null","28195","null","2551","null","41316","2568","null","null","60157","4201","null","null","128924","15198","null","null","217264","47731","null","null",
"0500000US38015","Burleigh County, North Dakota","16438","2460","null","null","37728","null","3350","null","64590","6093","null","null","97559","5222","null","null","182284","14495","null","null","288538","35776","null","null",
"0500000US38017","Cass County, North Dakota","13102","1720","null","null","31448","null","2216","null","52392","3161","null","null","79801","3840","null","null","176254","17191","null","null","316350","50970","null","null",
"0500000US38035","Grand Forks County, North Dakota","7092","2371","null","null","26892","null","3393","null","49699","3262","null","null","79382","5421","null","null","169534","19858","null","null","309583","65700","null","null",
