"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US40037","Creek County, Oklahoma","12573","null","1972","null","32875","null","2964","null","53677","null","2763","null","84129","null","6437","null","163579","null","11853","null","244977","30596","null","null",
"0500000US40101","Muskogee County, Oklahoma","10784","null","2041","null","29158","null","2794","null","44268","null","3753","null","70010","null","5942","null","149421","null","18771","null","258798","58954","null","null",
"0500000US40109","Oklahoma County, Oklahoma","12750","null","901","null","35170","null","1264","null","57930","null","1724","null","90792","null","2400","null","206114","null","8060","null","362266","26481","null","null",
"0500000US40119","Payne County, Oklahoma","8747","null","1742","null","26488","null","4049","null","48011","null","4884","null","72921","null","5078","null","151927","null","19455","null","250723","43030","null","null",
"0500000US40125","Pottawatomie County, Oklahoma","12277","null","1735","null","31428","null","2735","null","51413","null","3707","null","80682","null","5120","null","156041","null","14876","null","250498","42648","null","null",
"0500000US40131","Rogers County, Oklahoma","19104","null","1989","null","46445","null","2509","null","70067","null","3902","null","107108","null","5381","null","217815","null","19303","null","365224","59802","null","null",
"0500000US40143","Tulsa County, Oklahoma","12294","null","638","null","35582","null","967","null","59331","null","1281","null","94536","null","1926","null","216287","null","8838","null","395110","28879","null","null",
"0500000US40145","Wagoner County, Oklahoma","18320","null","2029","null","44460","null","3193","null","69915","null","4240","null","105789","null","6238","null","201408","null","13809","null","315070","37945","null","null",
"0500000US41003","Benton County, Oregon","10673","null","2458","null","37408","null","6032","null","64720","null","4812","null","104273","null","8405","null","228997","null","24729","null","376508","64327","null","null",
"0500000US41005","Clackamas County, Oregon","20609","null","1928","null","54487","null","2745","null","91956","null","2809","null","134649","null","4335","null","280660","null","16700","null","490514","52773","null","null",
"0500000US41017","Deschutes County, Oregon","18769","null","3393","null","50337","null","4699","null","80550","null","5635","null","117211","null","8134","null","260868","null","29835","null","449867","93518","null","null",
"0500000US41019","Douglas County, Oregon","10438","null","1670","null","30261","null","3648","null","51404","null","4728","null","82214","null","5644","null","153803","null","11637","null","233154","30262","null","null",
